date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:31	76937/76937	---M--	200	added ('OK')	image/png	etag:%2212c89-6176854e-b9f80229d9b133a3;;;%22	https://8siannft.com/images/n1-1.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/n1-1.png	(from https://8siannft.com/)
22:56:31	110833/110833	---M--	200	added ('OK')	image/png	etag:%221b0f1-617317f2-2088ff01ac5eb64f;;;%22	https://8siannft.com/images/bespoke.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/bespoke.png	(from https://8siannft.com/)
22:56:32	424513/424513	---M--	200	added ('OK')	image/jpeg	etag:%2267a41-61e82d39-80c0f717842dfe14;;;%22	https://8siannft.com/images/roadmap2.jpg	C:/My%20Web%20Sites/fuad/8siannft.com/images/roadmap2.jpg	(from https://8siannft.com/)
22:56:32	759467/759467	---M--	200	added ('OK')	image/png	etag:%22b96ab-61e8226a-a6cca51d3b4401c1;;;%22	https://8siannft.com/images/roadmap.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/roadmap.png	(from https://8siannft.com/)
22:56:32	456939/456939	---M--	200	added ('OK')	image/png	etag:%226f8eb-619ff6bc-e726fe92d4208c1a;;;%22	https://8siannft.com/images/halloween-ladies.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/halloween-ladies.png	(from https://8siannft.com/)
22:56:33	719864/719864	---M--	200	added ('OK')	image/png	etag:%22afbf8-619ebfac-62ba31c0e3b0fb53;;;%22	https://8siannft.com/images/bespoke-ladies.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/bespoke-ladies.png	(from https://8siannft.com/)
22:56:33	274542/274542	---M--	200	added ('OK')	image/png	etag:%224306e-61e1a259-791641674891d194;;;%22	https://8siannft.com/images/pass.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/pass.png	(from https://8siannft.com/)
22:56:33	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Jan%202022%2021:56:38%20GMT	https://8siannft.com/christmas	C:/My%20Web%20Sites/fuad/8siannft.com/christmas	(from https://8siannft.com/)
22:56:33	7675/7675	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2022:10:14%20GMT	https://8siannft.com/christmas/	C:/My%20Web%20Sites/fuad/8siannft.com/christmas/index.html	(from https://8siannft.com/)
22:56:34	541479/541479	---M--	200	added ('OK')	image/png	etag:%2284327-619ff6c8-8991181c91ab3e50;;;%22	https://8siannft.com/images/8SIAN-ladies.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/8SIAN-ladies.png	(from https://8siannft.com/)
22:56:34	119250/119250	---M--	200	added ('OK')	image/png	etag:%221d1d2-61839850-1fd00edde22a6e14;;;%22	https://8siannft.com/images/team/1.png	C:/My%20Web%20Sites/fuad/8siannft.com/images/team/1.png	(from https://8siannft.com/)
